,x,
breast_cancer_20A042224,breast,
breast_cancer_20A042225,breast,
breast_cancer_20A042228,breast,
breast_cancer_20A042229,breast,
breast_cancer_20A042231,breast,
breast_cancer_20A042232,breast,
breast_cancer_20A042233,breast,
breast_cancer_20A042235,breast,
breast_cancer_20A042236,breast,
breast_cancer_20A042238,breast,
breast_cancer_20A042241,breast,
breast_cancer_20A042243,breast,
breast_cancer_20A042248,breast,
breast_cancer_20A042249,breast,
breast_cancer_20A042250,breast,
breast_cancer_20A042257,breast,
breast_cancer_20A042341,breast,
breast_cancer_20A042342,breast,
breast_cancer_20A042343,breast,
breast_cancer_20A042347,breast,
breast_cancer_20A042349,breast,
breast_cancer_20A042350,breast,
breast_cancer_20A042351,breast,
breast_cancer_20A042352,breast,
breast_cancer_20A042353,breast,
breast_cancer_20A042355,breast,
breast_cancer_20A042356,breast,
breast_cancer_20A042358,breast,
breast_cancer_20A042359,breast,
breast_cancer_20A042360,breast,
breast_cancer_20A042364,breast,
breast_cancer_20A042366,breast,
breast_cancer_20A042367,breast,
breast_cancer_20A042368,breast,
breast_cancer_20A042369,breast,
breast_cancer_20A042370,breast,
breast_cancer_20A042371,breast,
breast_cancer_20A042374,breast,
breast_cancer_20A042376,breast,
breast_cancer_20A042397,breast,
breast_cancer_20A042422,breast,
breast_cancer_20A042431,breast,
breast_cancer_20A042477,breast,
breast_cancer_20A042492,breast,
breast_cancer_20A042506,breast,
breast_cancer_20A042533,breast,
breast_cancer_20A042560,breast,
breast_cancer_20A042565,breast,
breast_cancer_20A042594,breast,
breast_cancer_20A042596,breast,
breast_cancer_20A042598,breast,
breast_cancer_20A042604,breast,
breast_cancer_20A042609,breast,
breast_cancer_20A042611,breast,
breast_cancer_20A042615,breast,
breast_cancer_20A042616,breast,
breast_cancer_20A042617,breast,
breast_cancer_20A042619,breast,
breast_cancer_20A042622,breast,
breast_cancer_20A042625,breast,
breast_cancer_20A042627,breast,
breast_cancer_20A042629,breast,
cervical_cancer_20A042151,cervical,
cervical_cancer_20A042177,cervical,
cervical_cancer_20A042196,cervical,
cervical_cancer_20A042201,cervical,
cervical_cancer_20A042208,cervical,
cervical_cancer_20A042211,cervical,
cervical_cancer_20A042214,cervical,
cervical_cancer_20A042258,cervical,
cervical_cancer_20A042261,cervical,
cervical_cancer_20A042264,cervical,
cervical_cancer_20A042267,cervical,
cervical_cancer_20A042268,cervical,
cervical_cancer_20A042278,cervical,
cervical_cancer_20A042279,cervical,
cervical_cancer_20A042282,cervical,
cervical_cancer_20A042285,cervical,
cervical_cancer_20A042286,cervical,
cervical_cancer_20A042300,cervical,
cervical_cancer_20A042303,cervical,
cervical_cancer_20A042305,cervical,
cervical_cancer_20A042312,cervical,
cervical_cancer_20A042318,cervical,
cervical_cancer_20A042319,cervical,
cervical_cancer_20A042324,cervical,
cervical_cancer_20A042335,cervical,
cervical_cancer_20A042338,cervical,
cervical_cancer_20A042361,cervical,
cervical_cancer_20A042381,cervical,
cervical_cancer_20A042384,cervical,
cervical_cancer_20A042388,cervical,
cervical_cancer_20A042395,cervical,
cervical_cancer_20A042406,cervical,
cervical_cancer_20A042417,cervical,
cervical_cancer_20A042448,cervical,
cervical_cancer_20A042452,cervical,
cervical_cancer_20A042496,cervical,
cervical_cancer_20A042500,cervical,
cervical_cancer_20A042511,cervical,
cervical_cancer_20A042513,cervical,
cervical_cancer_20A042526,cervical,
cervical_cancer_20A042535,cervical,
cervical_cancer_20A042555,cervical,
cervical_cancer_20A042562,cervical,
cervical_cancer_20A042571,cervical,
cervical_cancer_20A042575,cervical,
cervical_cancer_20A042612,cervical,
esophagus_cancer_20A041478,esophagus,
esophagus_cancer_20A041479,esophagus,
esophagus_cancer_20A041480,esophagus,
esophagus_cancer_20A041481,esophagus,
esophagus_cancer_20A041482,esophagus,
esophagus_cancer_20A041483,esophagus,
esophagus_cancer_20A041484,esophagus,
esophagus_cancer_20A041497,esophagus,
esophagus_cancer_20A041499,esophagus,
esophagus_cancer_20A041500,esophagus,
esophagus_cancer_20A041501,esophagus,
esophagus_cancer_20A041502,esophagus,
esophagus_cancer_20A041503,esophagus,
esophagus_cancer_20A041504,esophagus,
esophagus_cancer_20A041505,esophagus,
